Frame,Hand,Landmark,X,Y,Z
2590,0,0,0.9873873591423035,0.37285900115966797,-1.2506758650943084e-07
2590,0,1,0.9322980642318726,0.3975422978401184,-0.05411884933710098
2590,0,2,0.8730314373970032,0.36971086263656616,-0.08287324011325836
2590,0,3,0.8316164612770081,0.31491124629974365,-0.10231118649244308
2590,0,4,0.8000001311302185,0.25754645466804504,-0.11832927912473679
2590,0,5,0.9461827278137207,0.24699991941452026,-0.06938337534666061
2590,0,6,0.9108362197875977,0.16492696106433868,-0.1000654324889183
2590,0,7,0.8735610246658325,0.12391889840364456,-0.12173691391944885
2590,0,8,0.8437957763671875,0.10163958370685577,-0.13526296615600586
2590,0,9,0.9680361747741699,0.21296347677707672,-0.05355062335729599
2590,0,10,0.9312599897384644,0.13336637616157532,-0.0786808505654335
2590,0,11,0.8938159942626953,0.09703656286001205,-0.0915348082780838
2590,0,12,0.8641173839569092,0.07575680315494537,-0.10047601163387299
2590,0,13,0.9792172908782959,0.19505956768989563,-0.04178858548402786
2590,0,14,0.9462518692016602,0.1215924397110939,-0.06402681022882462
2590,0,15,0.9115570783615112,0.09112432599067688,-0.0709337666630745
2590,0,16,0.8820250034332275,0.07232674956321716,-0.0743546336889267
2590,0,17,0.9817960262298584,0.18989603221416473,-0.03429405018687248
2590,0,18,0.9582787752151489,0.12688693404197693,-0.05544866994023323
2590,0,19,0.9329342246055603,0.09609335660934448,-0.06320199370384216
2590,0,20,0.9097586870193481,0.07685276120901108,-0.06591629236936569
2660,0,0,0.7233996987342834,0.05555906146764755,1.2544655092483481e-08
2660,0,1,0.7198548913002014,0.10752313584089279,-0.015053805895149708
2660,0,2,0.7224286794662476,0.15330597758293152,-0.030041076242923737
2660,0,3,0.7187868356704712,0.1808348447084427,-0.04598572850227356
2660,0,4,0.7163692116737366,0.19981089234352112,-0.06175387278199196
2660,0,5,0.7969249486923218,0.1714341640472412,-0.027605585753917694
2660,0,6,0.8155627250671387,0.22849923372268677,-0.05021655559539795
2660,0,7,0.8033599853515625,0.26192325353622437,-0.06442630290985107
2660,0,8,0.7820935845375061,0.2810336649417877,-0.07038670778274536
2660,0,9,0.8111258149147034,0.13586711883544922,-0.027505896985530853
2660,0,10,0.7813944816589355,0.15068820118904114,-0.04790708050131798
2660,0,11,0.7446097731590271,0.14841030538082123,-0.05455635115504265
2660,0,12,0.714972972869873,0.1448173075914383,-0.05569389835000038
